,cases_medellin,DATA,YEAR,YearWeek,LastDayWeek,MONTH,temperature_medellin,percipitation_medellin,percipitation_medellin_rural,percipitation_medellin_urbano
0,1,"['2007', 'w01']",2007,200701,2007-01-06,1,21.0092830657959,13.096688152403946,14.09769307933568,12.628932735686169
1,0,"['2007', 'w02']",2007,200702,2007-01-13,1,21.0092830657959,8.437043773367051,6.910390304712857,9.067214477347724
2,0,"['2007', 'w03']",2007,200703,2007-01-20,1,21.0092830657959,19.373164894285427,21.61696791441544,18.406664887974287
3,0,"['2007', 'w04']",2007,200704,2007-01-27,1,21.0092830657959,0.0,0.0,0.0
4,0,"['2007', 'w05']",2007,200705,2007-02-03,2,20.9829254150391,3.7252063704969287,3.1442247846852185,3.9010209884247096
5,0,"['2007', 'w06']",2007,200706,2007-02-10,2,20.9829254150391,12.088275492415113,12.500651958944713,12.02229607897111
6,0,"['2007', 'w07']",2007,200707,2007-02-17,2,20.9829254150391,1.4694188973482918,0.005340154159472184,2.11712999404204
7,0,"['2007', 'w08']",2007,200708,2007-02-24,2,20.9829254150391,6.801017277381001,8.832785040629659,5.97287110338586
8,0,"['2007', 'w09']",2007,200709,2007-03-03,3,21.425910949707,31.985303761514462,33.24117832275981,31.41112971047282
9,0,"['2007', 'w10']",2007,200710,2007-03-10,3,21.425910949707,24.67653565397848,24.933450997394072,24.562073322749487
10,0,"['2007', 'w11']",2007,200711,2007-03-17,3,21.425910949707,43.16689639127299,44.06303265451809,42.65439032700285
11,0,"['2007', 'w12']",2007,200712,2007-03-24,3,21.425910949707,36.59812361248146,38.45821859755954,35.78635180852988
12,0,"['2007', 'w13']",2007,200713,2007-03-31,3,21.425910949707,91.35664455531088,95.8898041308214,89.28159654458292
13,1,"['2007', 'w14']",2007,200714,2007-04-07,4,21.2370319366455,58.00760329582814,59.08075929839831,57.39046735446807
14,0,"['2007', 'w15']",2007,200715,2007-04-14,4,21.2370319366455,47.19668516020602,45.80359773313366,48.07685686008886
15,0,"['2007', 'w16']",2007,200716,2007-04-21,4,21.2370319366455,62.31869971229974,60.837236345447785,63.13984197564002
16,0,"['2007', 'w17']",2007,200717,2007-04-28,4,21.2370319366455,32.58490772047389,29.027088101704923,34.33546288111497
17,1,"['2007', 'w18']",2007,200718,2007-05-05,5,21.322522163391106,69.14131790690487,72.6175117209338,67.49554692325258
18,0,"['2007', 'w19']",2007,200719,2007-05-12,5,21.322522163391106,72.83190365227054,67.62354463240949,75.16562268791078
19,0,"['2007', 'w20']",2007,200720,2007-05-19,5,21.322522163391106,113.71953999354632,114.59274978775908,113.08332164331742
20,0,"['2007', 'w21']",2007,200721,2007-05-26,5,21.322522163391106,89.36056221292374,86.24515049699427,90.7201575636056
21,0,"['2007', 'w22']",2007,200722,2007-06-02,6,21.2431755065918,37.06938622352926,36.10694825614708,37.45948938627455
