,cases_medellin,DATA,YEAR,YearWeek,LastDayWeek,MONTH,percipitation_medellin,percipitation_medellin_rural,percipitation_medellin_urbano,temperature
0,1,"['2007', 'w01']",2007,200701,2007-01-06,1,13.096688152403946,14.09769307933568,12.628932735686169,19.615357142857142
1,0,"['2007', 'w02']",2007,200702,2007-01-13,1,8.437043773367051,6.910390304712857,9.067214477347724,22.234
2,0,"['2007', 'w03']",2007,200703,2007-01-20,1,19.373164894285427,21.61696791441544,18.406664887974287,22.26885714285714
3,0,"['2007', 'w04']",2007,200704,2007-01-27,1,0.0,0.0,0.0,23.546
4,0,"['2007', 'w05']",2007,200705,2007-02-03,2,3.7252063704969287,3.1442247846852185,3.9010209884247096,25.35307142857143
5,0,"['2007', 'w06']",2007,200706,2007-02-10,2,12.088275492415113,12.500651958944713,12.02229607897111,25.291428571428565
6,0,"['2007', 'w07']",2007,200707,2007-02-17,2,1.4694188973482918,0.005340154159472184,2.11712999404204,24.71907142857143
7,0,"['2007', 'w08']",2007,200708,2007-02-24,2,6.801017277381001,8.832785040629659,5.972871103385861,25.926785714285714
8,0,"['2007', 'w09']",2007,200709,2007-03-03,3,31.985303761514462,33.24117832275981,31.41112971047282,26.676857142857138
9,0,"['2007', 'w10']",2007,200710,2007-03-10,3,24.67653565397848,24.933450997394072,24.562073322749487,27.0615
10,0,"['2007', 'w11']",2007,200711,2007-03-17,3,43.16689639127299,44.06303265451809,42.65439032700285,26.74842857142857
11,0,"['2007', 'w12']",2007,200712,2007-03-24,3,36.59812361248146,38.45821859755954,35.78635180852988,26.353214285714284
12,0,"['2007', 'w13']",2007,200713,2007-03-31,3,91.35664455531088,95.8898041308214,89.28159654458292,17.001499999999997
13,1,"['2007', 'w14']",2007,200714,2007-04-07,4,58.00760329582814,59.08075929839831,57.39046735446807,22.576857142857147
14,0,"['2007', 'w15']",2007,200715,2007-04-14,4,47.19668516020602,45.80359773313366,48.07685686008886,25.829
15,0,"['2007', 'w16']",2007,200716,2007-04-21,4,62.31869971229974,60.83723634544778,63.13984197564002,27.204214285714286
16,0,"['2007', 'w17']",2007,200717,2007-04-28,4,32.58490772047389,29.027088101704926,34.33546288111497,22.922071428571428
17,1,"['2007', 'w18']",2007,200718,2007-05-05,5,69.14131790690487,72.6175117209338,67.49554692325258,25.297071428571428
18,0,"['2007', 'w19']",2007,200719,2007-05-12,5,72.83190365227054,67.62354463240949,75.16562268791078,21.467928571428565
19,0,"['2007', 'w20']",2007,200720,2007-05-19,5,113.71953999354632,114.59274978775908,113.08332164331742,25.564
20,0,"['2007', 'w21']",2007,200721,2007-05-26,5,89.36056221292374,86.24515049699427,90.7201575636056,24.859571428571428
21,0,"['2007', 'w22']",2007,200722,2007-06-02,6,37.06938622352926,36.10694825614708,37.45948938627455,24.7995
22,0,"['2007', 'w23']",2007,200723,2007-06-09,6,10.419747816382422,9.338749432909315,10.943348184086542,24.641714285714283
23,0,"['2007', 'w24']",2007,200724,2007-06-16,6,16.13045424517612,16.6848739022794,15.949271377750078,22.987785714285717
24,0,"['2007', 'w25']",2007,200725,2007-06-23,6,8.501094798868678,7.645711702885836,8.922556720434999,23.03442857142857
25,0,"['2007', 'w26']",2007,200726,2007-06-30,6,4.4543342453815775,3.4098694429305443,4.948416229130402,22.796714285714284
26,0,"['2007', 'w27']",2007,200727,2007-07-07,7,39.025192909194466,37.23709174826526,39.910436981897575,24.90507142857143
27,1,"['2007', 'w28']",2007,200728,2007-07-14,7,54.35175365627335,56.62480305381443,53.31808685696186,22.360357142857147
28,0,"['2007', 'w29']",2007,200729,2007-07-21,7,57.214578286577975,56.378517387684994,57.688068297886495,21.38914285714285
29,0,"['2007', 'w30']",2007,200730,2007-07-28,7,15.665261657985484,17.06924324139305,15.13097288551451,21.85857142857143
30,0,"['2007', 'w31']",2007,200731,2007-08-04,8,35.008359922746536,31.232185786242646,36.8058163065529,23.459285714285716
31,0,"['2007', 'w32']",2007,200732,2007-08-11,8,58.06515072575201,58.182869554832926,58.126206419126426,19.777285714285718
32,0,"['2007', 'w33']",2007,200733,2007-08-18,8,54.780984376115406,54.20189011569185,55.19893830801856,22.903642857142852
33,0,"['2007', 'w34']",2007,200734,2007-08-25,8,71.0007907225283,67.68332734223151,72.50942107772485,24.17685714285714
34,0,"['2007', 'w35']",2007,200735,2007-09-01,9,42.580420105269326,45.56730806470493,41.35337647215253,23.745
35,0,"['2007', 'w36']",2007,200736,2007-09-08,9,35.50864616517579,33.48589098188613,36.29174776051414,24.549142857142854
36,0,"['2007', 'w37']",2007,200737,2007-09-15,9,63.56456384297754,66.84341365565425,61.81656727573207,25.44592857142857
37,0,"['2007', 'w38']",2007,200738,2007-09-22,9,56.59678203441921,57.47152923823555,55.9533261035397,23.73728571428572
38,0,"['2007', 'w39']",2007,200739,2007-09-29,9,58.98382119034348,56.709724240602505,60.08514108886237,26.829785714285716
39,0,"['2007', 'w40']",2007,200740,2007-10-06,10,89.70146941870115,97.71329204034114,86.09158749910057,26.020142857142854
40,0,"['2007', 'w41']",2007,200741,2007-10-13,10,68.90299988598639,73.94488520461006,66.43134158841636,24.926642857142852
41,0,"['2007', 'w42']",2007,200742,2007-10-20,10,48.150601809702174,44.863803452570075,49.518280099540405,23.488357142857147
42,0,"['2007', 'w43']",2007,200743,2007-10-27,10,102.87840062506656,105.55018041951644,101.62678108870364,23.664642857142855
