system:time_start,LST_Day_1km
"Sep 1, 2007",
"Sep 2, 2007",
"Sep 3, 2007",27.502
"Sep 4, 2007",22.029
"Sep 5, 2007",25.353
"Sep 6, 2007",23.164
"Sep 7, 2007",24.666
"Sep 8, 2007",23.29
"Sep 9, 2007",
"Sep 10, 2007",27.016
"Sep 11, 2007",
"Sep 12, 2007",23.808
"Sep 13, 2007",
"Sep 14, 2007",26.557
"Sep 15, 2007",
"Sep 16, 2007",
"Sep 17, 2007",23.429
"Sep 18, 2007",
"Sep 19, 2007",
"Sep 20, 2007",22.411
"Sep 21, 2007",24.695
"Sep 22, 2007",24.793
"Sep 23, 2007",
"Sep 24, 2007",
"Sep 25, 2007",
"Sep 26, 2007",27.816
"Sep 27, 2007",
"Sep 28, 2007",26.333
"Sep 29, 2007",
"Sep 30, 2007",29.01
"Oct 1, 2007",
"Oct 2, 2007",26.552
"Oct 3, 2007",27.206
"Oct 4, 2007",
"Oct 5, 2007",25.026
"Oct 6, 2007",20.45
"Oct 7, 2007",35.74
"Oct 8, 2007",23.744
"Oct 9, 2007",
"Oct 10, 2007",
"Oct 11, 2007",
"Oct 12, 2007",
"Oct 13, 2007",
"Oct 14, 2007",22.257
"Oct 15, 2007",
"Oct 16, 2007",
"Oct 17, 2007",23.659
"Oct 18, 2007",
"Oct 19, 2007",
"Oct 20, 2007",
"Oct 21, 2007",
"Oct 22, 2007",
"Oct 23, 2007",24.732
"Oct 24, 2007",
"Oct 25, 2007",23.083
"Oct 26, 2007",23.376
"Oct 27, 2007",
"Oct 28, 2007",
"Oct 29, 2007",
"Oct 30, 2007",
"Oct 31, 2007",
"Nov 1, 2007",
"Nov 2, 2007",20.95
"Nov 3, 2007",
"Nov 4, 2007",
"Nov 5, 2007",
"Nov 6, 2007",24.107
"Nov 7, 2007",
"Nov 8, 2007",
"Nov 9, 2007",
"Nov 10, 2007",
"Nov 11, 2007",
"Nov 12, 2007",
"Nov 13, 2007",
"Nov 14, 2007",
"Nov 15, 2007",25.731
"Nov 16, 2007",
"Nov 17, 2007",
"Nov 18, 2007",24.089
"Nov 19, 2007",25.961
"Nov 20, 2007",
"Nov 21, 2007",
"Nov 22, 2007",19.564
"Nov 23, 2007",
"Nov 24, 2007",
"Nov 25, 2007",22.726
"Nov 26, 2007",25.828
"Nov 27, 2007",
"Nov 28, 2007",
