,Medellin,MedellinRural,MedellinUrbano
2007-01-06,13.096688152403944,14.097693079335679,12.628932735686167
2007-01-13,8.437043773367051,6.910390304712857,9.067214477347724
2007-01-20,19.37316489428543,21.61696791441544,18.40666488797429
2007-01-27,0.0,0.0,0.0
2007-02-03,3.725206370496929,3.144224784685218,3.9010209884247096
2007-02-10,12.088275492415113,12.500651958944715,12.02229607897111
2007-02-17,1.4694188973482918,0.005340154159472184,2.1171299940420396
2007-02-24,6.801017277381,8.832785040629659,5.9728711033858595
2007-03-03,31.985303761514466,33.24117832275981,31.41112971047282
2007-03-10,24.676535653978476,24.93345099739407,24.56207332274949
2007-03-17,43.16689639127299,44.06303265451809,42.65439032700285
2007-03-24,36.59812361248146,38.458218597559544,35.78635180852988
2007-03-31,91.35664455531088,95.8898041308214,89.28159654458292
2007-04-07,58.00760329582814,59.080759298398306,57.390467354468065
2007-04-14,47.196685160206016,45.80359773313366,48.07685686008887
2007-04-21,62.31869971229974,60.83723634544779,63.139841975640024
2007-04-28,32.584907720473886,29.027088101704916,34.33546288111497
2007-05-05,69.14131790690487,72.61751172093379,67.49554692325258
2007-05-12,72.83190365227054,67.6235446324095,75.16562268791078
2007-05-19,113.71953999354633,114.59274978775908,113.08332164331739
2007-05-26,89.36056221292374,86.24515049699426,90.7201575636056
2007-06-02,37.06938622352926,36.10694825614708,37.45948938627455
2007-06-09,10.419747816382422,9.338749432909315,10.943348184086544
2007-06-16,16.13045424517612,16.6848739022794,15.949271377750078
2007-06-23,8.501094798868678,7.645711702885836,8.922556720435
2007-06-30,4.4543342453815775,3.4098694429305443,4.9484162291304
2007-07-07,39.02519290919448,37.23709174826526,39.910436981897575
2007-07-14,54.351753656273345,56.62480305381443,53.318086856961855
2007-07-21,57.214578286577975,56.378517387684994,57.6880682978865
2007-07-28,15.665261657985486,17.06924324139305,15.13097288551451
2007-08-04,35.00835992274654,31.232185786242646,36.8058163065529
2007-08-11,58.065150725752005,58.18286955483293,58.12620641912642
2007-08-18,54.780984376115406,54.20189011569185,55.19893830801856
2007-08-25,71.0007907225283,67.68332734223151,72.50942107772484
2007-09-01,42.58042010526932,45.56730806470493,41.35337647215253
2007-09-08,35.50864616517579,33.48589098188613,36.29174776051414
2007-09-15,63.564563842977535,66.84341365565425,61.81656727573207
2007-09-22,56.59678203441921,57.47152923823555,55.953326103539695
2007-09-29,58.98382119034348,56.7097242406025,60.08514108886237
2007-10-06,89.70146941870115,97.71329204034114,86.09158749910054
2007-10-13,68.90299988598639,73.94488520461006,66.43134158841636
2007-10-20,48.150601809702174,44.86380345257008,49.518280099540405
2007-10-27,102.87840062506655,105.55018041951645,101.62678108870364
2007-11-03,38.87780623307663,38.080000523092664,39.20156794352818
2007-11-10,16.49852702390864,15.978010785752451,16.786700909352124
2007-11-17,39.52400991973352,38.75484350084683,39.78394231136923
2007-11-24,30.11811621481546,31.06045679723583,29.714687695397657
2007-12-01,1.5214586604074185,0.1464389211313736,2.128792406367437
2007-12-08,12.721332331026003,3.397459787562274,17.987387618811706
2007-12-15,23.996584960904084,16.381677949140613,27.443902419047607
2007-12-22,94.86294638677892,115.44576215697948,84.8992764386342
2007-12-29,3.5533868290754373,1.4210062957616243,4.458987585516791
2008-01-05,73.72752954127344,72.85822238231052,73.96899791201261
2008-01-12,2.456349069544013,1.4495637280929492,2.8694953310829026
2008-01-19,11.824783838884402,13.958682227940951,10.95067377581728
2008-01-26,5.8361261945791325,5.953390907895738,5.814858547767471
2008-02-02,0.0,0.0,0.0
2008-02-09,20.01973787699832,20.71299483303863,19.82161863734698
2008-02-16,115.42082614639078,121.87457138006238,112.55725867426132
2008-02-23,20.503825939641583,20.76028734842936,20.248001751078775
2008-03-01,74.07867202845324,76.7812485685671,72.81094419541427
2008-03-08,42.931198968905235,46.20799904468555,41.14528029933538
2008-03-15,14.157661440972243,13.783305450568454,14.596581643057581
2008-03-22,35.1151367393095,36.038430384391745,34.784998012569446
2008-03-29,35.693698350270196,34.375098327507715,36.37947802623365
2008-04-05,65.48616282468444,69.34898185822124,63.773463493766045
2008-04-12,18.08207867948224,15.704470697117312,19.368124078853175
2008-04-19,68.54635272134976,66.37036788359933,69.58482481352733
2008-04-26,97.91282267445169,98.30835406906938,97.73423587343999
2008-05-03,53.602140900078645,54.98145530166257,52.87610892365004
2008-05-10,39.81351806672852,38.499005872846226,40.63548011258346
