Date,temperature,ffill,backfill,LastDayWeek
2006-12-31,19.615357142857142,19.03257142857143,20.19814285714286,2007-01-06
2007-01-07,22.233999999999998,22.469571428571424,21.99842857142857,2007-01-13
2007-01-14,22.26885714285714,22.450285714285712,22.08742857142857,2007-01-20
2007-01-21,23.546,23.642142857142858,23.449857142857145,2007-01-27
2007-01-28,25.35307142857143,25.134999999999998,25.57114285714286,2007-02-03
2007-02-04,25.291428571428565,25.54785714285714,25.035,2007-02-10
2007-02-11,24.71907142857143,24.53757142857143,24.90057142857143,2007-02-17
2007-02-18,25.92678571428571,25.931142857142856,25.922428571428572,2007-02-24
2007-02-25,26.676857142857138,26.59471428571428,26.758999999999993,2007-03-03
2007-03-04,27.0615,27.306999999999995,26.816,2007-03-10
2007-03-11,26.748428571428573,26.26057142857143,27.23628571428571,2007-03-17
2007-03-18,26.35321428571428,28.237571428571425,24.46885714285714,2007-03-24
2007-03-25,17.001499999999997,23.694999999999997,10.308000000000002,2007-03-31
2007-04-01,22.576857142857143,21.666285714285713,23.487428571428577,2007-04-07
2007-04-08,25.829,25.126857142857144,26.53114285714285,2007-04-14
2007-04-15,27.20421428571429,28.24085714285714,26.167571428571428,2007-04-21
2007-04-22,22.92207142857143,22.98714285714286,22.857000000000003,2007-04-28
2007-04-29,25.297071428571428,23.981285714285715,26.612857142857145,2007-05-05
2007-05-06,21.467928571428565,21.632714285714286,21.303142857142856,2007-05-12
2007-05-13,25.563999999999997,25.363285714285713,25.76471428571428,2007-05-19
2007-05-20,24.859571428571428,23.54357142857143,26.175571428571427,2007-05-26
2007-05-27,24.7995,25.472142857142853,24.126857142857144,2007-06-02
2007-06-03,24.641714285714283,24.419999999999998,24.863428571428567,2007-06-09
2007-06-10,22.987785714285714,22.571571428571428,23.404,2007-06-16
2007-06-17,23.03442857142857,23.101571428571425,22.967285714285715,2007-06-23
2007-06-24,22.796714285714284,22.876714285714286,22.716714285714286,2007-06-30
2007-07-01,24.905071428571432,24.704428571428576,25.10571428571429,2007-07-07
2007-07-08,22.360357142857143,22.04357142857143,22.677142857142854,2007-07-14
2007-07-15,21.389142857142854,19.963285714285714,22.814999999999998,2007-07-21
2007-07-22,21.85857142857143,19.488857142857142,24.228285714285715,2007-07-28
2007-07-29,23.459285714285716,24.09142857142857,22.827142857142857,2007-08-04
2007-08-05,19.777285714285718,21.078000000000003,18.47657142857143,2007-08-11
2007-08-12,22.903642857142852,21.28342857142857,24.52385714285714,2007-08-18
2007-08-19,24.17685714285714,24.94442857142857,23.409285714285712,2007-08-25
2007-08-26,23.745,23.35314285714286,24.136857142857142,2007-09-01
2007-09-02,24.549142857142858,24.311714285714288,24.786571428571428,2007-09-08
2007-09-09,25.44592857142857,25.436,25.455857142857145,2007-09-15
2007-09-16,23.73728571428572,24.10614285714286,23.368428571428574,2007-09-22
2007-09-23,26.829785714285716,26.096714285714285,27.562857142857144,2007-09-29
2007-09-30,26.020142857142854,26.351428571428574,25.68885714285714,2007-10-06
2007-10-07,24.926642857142856,25.457714285714285,24.39557142857143,2007-10-13
2007-10-14,23.488357142857147,23.058142857142855,23.91857142857143,2007-10-20
2007-10-21,23.664642857142855,23.802428571428575,23.526857142857143,2007-10-27
2007-10-28,22.04192857142857,22.682857142857138,21.401000000000003,2007-11-03
2007-11-04,24.119999999999997,23.205000000000002,25.034999999999997,2007-11-10
2007-11-11,25.032428571428568,24.802999999999997,25.261857142857142,2007-11-17
2007-11-18,22.489857142857147,22.951999999999998,22.027714285714286,2007-11-24
2007-11-25,23.627142857142854,23.96842857142857,23.28585714285714,2007-12-01
2007-12-02,23.04642857142857,22.65385714285714,23.438999999999997,2007-12-08
2007-12-09,24.104357142857143,24.346142857142855,23.86257142857143,2007-12-15
2007-12-16,23.992928571428568,24.138,23.847857142857144,2007-12-22
2007-12-23,21.171999999999997,21.428714285714285,20.915285714285716,2007-12-29
2007-12-30,21.268214285714286,21.418857142857146,21.11757142857143,2008-01-05
2008-01-06,22.460785714285713,23.042142857142856,21.879428571428573,2008-01-12
2008-01-13,20.494214285714285,21.556714285714285,19.431714285714285,2008-01-19
2008-01-20,22.619357142857144,22.241999999999997,22.996714285714283,2008-01-26
2008-01-27,23.661,23.121857142857145,24.200142857142858,2008-02-02
2008-02-03,23.7355,24.162857142857142,23.308142857142855,2008-02-09
2008-02-10,23.406,22.930714285714284,23.881285714285717,2008-02-16
2008-02-17,24.391142857142857,25.824857142857145,22.957428571428572,2008-02-23
2008-02-24,23.450857142857142,24.055285714285713,22.84642857142857,2008-03-01
2008-03-02,23.530857142857144,23.128000000000004,23.933714285714284,2008-03-08
2008-03-09,21.919928571428574,20.803571428571434,23.036285714285718,2008-03-15
2008-03-16,24.457,24.181857142857147,24.732142857142858,2008-03-22
2008-03-23,24.29114285714286,24.38685714285714,24.19542857142857,2008-03-29
2008-03-30,23.43371428571429,23.839000000000002,23.028428571428574,2008-04-05
2008-04-06,24.94957142857143,24.95571428571429,24.943428571428573,2008-04-12
2008-04-13,25.57492857142857,24.790285714285716,26.359571428571428,2008-04-19
2008-04-20,25.835285714285714,23.68257142857143,27.988000000000003,2008-04-26
2008-04-27,26.919,27.12485714285714,26.713142857142856,2008-05-03
2008-05-04,26.766714285714283,26.92742857142857,26.605999999999998,2008-05-10
2008-05-11,24.946499999999997,25.014714285714287,24.878285714285717,2008-05-17
2008-05-18,23.879500000000004,23.564428571428575,24.19457142857143,2008-05-24
2008-05-25,23.25121428571429,24.383285714285712,22.11914285714286,2008-05-31
