,PRECIPITATION_dec_15,PRECIPITATION_nov_15,PRECIPITATION_oct_15,PRECIPITATION_sep_15,PRECIPITATION_aug_15,PRECIPITATION_jul_15,PRECIPITATION_jun_15,PRECIPITATION_may_15,PRECIPITATION_apr_15,PRECIPITATION_mar_15,PRECIPITATION_feb_15,PRECIPITATION_jan_15,PRECIPITATION_dec_16,PRECIPITATION_nov_16,PRECIPITATION_oct_16,PRECIPITATION_sep_16,PRECIPITATION_aug_16,PRECIPITATION_jul_16,PRECIPITATION_jun_16,PRECIPITATION_may_16,PRECIPITATION_apr_16,PRECIPITATION_mar_16,PRECIPITATION_feb_16,PRECIPITATION_jan_16,PRECIPITATION_dec_17,PRECIPITATION_nov_17,PRECIPITATION_oct_17,PRECIPITATION_sep_17,PRECIPITATION_aug_17,PRECIPITATION_jul_17,PRECIPITATION_jun_17,PRECIPITATION_may_17,PRECIPITATION_apr_17,PRECIPITATION_mar_17,PRECIPITATION_feb_17,PRECIPITATION_jan_17,PRECIPITATION_dec_18,PRECIPITATION_nov_18,PRECIPITATION_oct_18,PRECIPITATION_sep_18,PRECIPITATION_aug_18,PRECIPITATION_jul_18,PRECIPITATION_jun_18,PRECIPITATION_may_18,PRECIPITATION_apr_18,PRECIPITATION_mar_18,PRECIPITATION_feb_18,PRECIPITATION_jan_18,Municipality code,PerPAnual_2015,PerPAnual_2016,PerPAnual_2017,PerPAnual_2018,TEMPERATURE_dec_15,TEMPERATURE_nov_15,TEMPERATURE_oct_15,TEMPERATURE_sep_15,TEMPERATURE_aug_15,TEMPERATURE_jul_15,TEMPERATURE_jun_15,TEMPERATURE_may_15,TEMPERATURE_apr_15,TEMPERATURE_mar_15,TEMPERATURE_feb_15,TEMPERATURE_jan_15,TEMPERATURE_dec_16,TEMPERATURE_nov_16,TEMPERATURE_oct_16,TEMPERATURE_sep_16,TEMPERATURE_aug_16,TEMPERATURE_jul_16,TEMPERATURE_jun_16,TEMPERATURE_may_16,TEMPERATURE_apr_16,TEMPERATURE_mar_16,TEMPERATURE_feb_16,TEMPERATURE_jan_16,TEMPERATURE_dec_17,TEMPERATURE_nov_17,TEMPERATURE_oct_17,TEMPERATURE_sep_17,TEMPERATURE_aug_17,TEMPERATURE_jul_17,TEMPERATURE_jun_17,TEMPERATURE_may_17,TEMPERATURE_apr_17,TEMPERATURE_mar_17,TEMPERATURE_feb_17,TEMPERATURE_jan_17,TEMPERATURE_dec_18,TEMPERATURE_nov_18,TEMPERATURE_oct_18,TEMPERATURE_sep_18,TEMPERATURE_aug_18,TEMPERATURE_jul_18,TEMPERATURE_jun_18,TEMPERATURE_may_18,TEMPERATURE_apr_18,TEMPERATURE_mar_18,TEMPERATURE_feb_18,TEMPERATURE_jan_18,TMAnual_2015,TMAnual_2016,TMAnual_2017,TMAnual_2018,State code,State,Municipality,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Cases 2015,Cases 2016,Cases 2017,Cases 2018,Cases 2019,Age 0-4 (%),Age 5-14 (%),Age 15-29 (%),Age >30 (%),Afrocolombian Population (%),Indian Population (%),People with Disabilities (%),People who cannot read or write (%),Secondary/Higher Education (%),Employed population (%),Unemployed population (%),People doing housework (%),Retired people (%),Men (%),Women (%),Households without water access (%),Households without internet access (%),Building stratification 1 (%),Building stratification 2 (%),Building stratification 3 (%),Building stratification 4 (%),Building stratification 5 (%),Building stratification 6 (%),Number of hospitals per Km2,Number of houses per Km2
0,49.6360893249512,184.867233276367,213.469482421875,179.24195861816398,176.984466552734,151.203384399414,87.7343063354492,174.196670532227,192.881774902344,189.173370361328,90.6879196166992,101.824607849121,149.539245605469,127.50354766845699,252.005187988281,266.614624023438,235.356658935547,177.19714355468798,118.415252685547,233.860794067383,249.590606689453,126.497833251953,46.29345703125,67.45059204101561,152.662017822266,245.842239379883,318.701873779297,248.888854980469,323.284515380859,109.11679077148399,185.905487060547,192.741973876953,218.512985229492,113.966262817383,111.02529907226601,93.14260864257808,67.5279998779297,276.91455078125,302.15130615234403,294.88861083984403,200.803131103516,180.841247558594,219.43675231933602,418.379302978516,267.799438476562,140.323318481445,86.1315536499023,131.17672729492202,5001,1791.9012641906738,2050.3249435424814,2313.790908813477,2586.373939514161,22.0834007263184,21.2006788253784,21.5502395629883,22.125761032104503,22.6625738143921,22.4197034835815,21.991092681884798,21.9558544158936,21.889722824096697,21.7053375244141,21.960876464843803,21.5782942771912,20.966388702392603,20.7652626037598,21.3013687133789,21.6453790664673,22.6003351211548,22.1717872619629,22.1604499816895,22.202556610107397,22.4543056488037,22.0109806060791,22.6933422088623,22.354769706726103,20.836353302002,20.936095714569102,21.0552749633789,21.848070144653303,21.2206473350525,22.1515617370605,21.4643564224243,21.574604988098102,21.9263544082642,21.156813621521,21.256710529327396,20.7753419876099,20.9363527297974,20.8867034912109,20.748416423797604,21.3472018241882,21.7194323539734,21.952168464660602,21.4571514129639,21.0373649597168,21.1242713928223,21.726171493530302,21.18084192276,20.9797692298889,21.926961302757288,21.94391051928203,21.350182096163433,21.257987141609192,5,Antioquia,Medellín,2431666,2420516,2414616,2427129,2483545,3785,17306,2100,1172,1276,5.16,11.96,26.71,56.16,2.51,0.09,6.27,3.17,67.43,43.23,5.64,13.91,5.47,47.01,52.99,1.44,29.47,12.1117,31.2817,26.0471,9.0279,6.4855,3.7062,1.5552629999999998,2102.057895
1,50.9670753479004,192.597106933594,188.845352172852,150.582595825195,171.981658935547,137.014389038086,76.4740295410156,180.865524291992,194.81175231933602,205.48805236816398,107.70538330078101,120.499702453613,146.06765747070298,127.82936859130899,229.69459533691398,244.62390136718798,237.421905517578,158.984313964844,104.822425842285,251.460342407227,255.542633056641,147.243591308594,55.9718132019043,84.6878967285156,156.098236083984,251.401458740234,287.642547607422,195.19079589843798,320.111968994141,95.78868865966801,171.597091674805,206.874160766602,220.785079956055,124.197074890137,141.97961425781202,103.853126525879,60.3567390441895,276.05535888671903,274.999481201172,263.65875244140597,202.056365966797,171.043685913086,191.030685424805,456.43212890625,266.998016357422,145.937301635742,107.64460754394501,151.6259765625,5002,1777.8326225280762,2044.350444793703,2275.5198440551767,2567.839099884033,17.8319320678711,17.005547046661402,17.2021245956421,17.7696866989136,17.9822916984558,17.5445513725281,17.5987915992737,17.3665618896484,17.2696094512939,17.1660785675049,17.344880104064902,17.1425986289978,16.6459951400757,16.5594530105591,16.9247808456421,17.262656211853002,17.8846354484558,17.3109579086304,17.648791313171397,17.6931247711182,17.7961721420288,17.4113903045654,18.0745668411255,17.9168171882629,16.5217757225037,16.6914844512939,16.702125072479202,17.4571871757507,16.5268230438232,17.2633023262024,16.9433226585388,16.9978127479553,17.157110214233402,16.577796459198,16.6448802947998,16.2605676651001,16.627244949340803,16.6742968559265,16.495094299316403,17.0118746757507,17.1033849716187,17.0633020401001,17.036292552948,16.4954681396484,16.471952915191697,17.1699843406677,16.587067604064902,16.4550981521606,17.435387810071308,17.42744509379069,16.812015652656545,16.765921791394543,5,Antioquia,Abejorral,19897,19979,20047,20367,20258,2,5,1,2,0,5.24,14.92,22.29,57.55,0.35,0.01,16.05,9.89,33.65,39.6,0.89,26.37,1.43,51.93,48.07,21.87,56.27,31.351999999999997,33.8306,2.0439,0.0352,0.0117,0.0,0.002012,11.945674
2,40.2052803039551,160.145645141602,199.831024169922,174.773223876953,202.366317749023,138.970291137695,81.92420959472659,165.61100769043,147.087203979492,148.01091003418,70.9405136108398,69.466667175293,135.011978149414,119.878227233887,229.409469604492,240.320388793945,255.991790771484,166.79997253418,122.54533386230499,220.309143066406,194.420257568359,94.2098922729492,34.7664947509766,44.166618347168,135.0673828125,229.41310119628898,298.017059326172,253.821868896484,376.353118896484,106.19718170166,192.193634033203,182.609832763672,173.34831237793,97.0471649169922,76.4820098876953,70.7827682495117,63.5714111328125,257.440795898438,267.168548583984,273.485809326172,216.341445922852,160.006393432617,225.602828979492,374.21267700195295,214.366912841797,111.904190063477,69.3632125854492,98.8480072021484,5004,1599.3322944641113,1857.8295669555657,2191.333435058593,2332.312232971192,18.1645355224609,17.4828372001648,17.6558985710144,18.0856657028198,18.440150737762497,18.2808308601379,18.0601015090942,18.057073593139602,18.0763378143311,17.741199016571,17.8551487922668,17.572968006134,17.0845866203308,17.0741567611694,17.456419467926,17.6763772964478,18.342406749725303,18.1132092475891,18.268609046936,18.3436193466187,18.6189589500427,18.133993625640898,18.4905643463135,18.2760066986084,16.980420112609902,17.1974201202393,17.2333292961121,17.7970371246338,17.0047330856323,18.028400897979697,17.5394415855408,17.659503936767603,18.1824135780334,17.2175006866455,17.139435768127402,16.7572555541992,17.0804195404053,17.2315349578857,16.9113674163818,17.3563251495361,17.5121116638184,17.8431568145752,17.5290250778198,17.221656799316403,17.378247261047402,17.8339939117432,17.157057762146,17.0199294090271,17.95606227715808,17.989909013112385,17.39474097887675,17.339568813641865,5,Antioquia,Abriaquí,2514,2539,2593,2695,2710,0,2,0,1,2,6.07,14.08,23.76,56.09,1.99,0.0,16.72,6.72,45.72,36.78,1.85,24.5,1.16,54.24,45.76,24.03,62.35,21.5705,39.1675,4.3519,0.0946,0.1892,0.1892,0.0,2.548276
3,50.1437835693359,199.683242797852,217.79895019531202,181.15989685058602,217.232223510742,174.34777832031202,127.110664367676,168.719253540039,204.777923583984,194.835266113281,114.009727478027,115.672485351562,138.651657104492,145.72335815429702,266.072052001953,267.838226318359,298.988616943359,193.332321166992,115.304100036621,231.279205322266,273.01263427734403,123.61213684081999,56.408119201660206,74.90191650390621,137.453506469727,252.829452514648,321.093597412109,244.643142700195,395.903472900391,115.703643798828,181.151321411133,199.921234130859,238.820831298828,105.653427124023,136.565780639648,107.29156494140601,61.464046478271506,277.470184326172,353.70138549804705,302.4130859375,256.421905517578,195.61901855468798,225.225448608398,436.87814331054705,292.958587646484,147.506774902344,86.4498138427734,140.216995239258,5021,1965.4911956787091,2185.1243438720694,2437.030975341795,2776.325389862061,21.7472114562988,21.0159330368042,21.4319486618042,22.043798446655302,22.430833816528303,22.1493358612061,21.8689041137695,21.926901817321802,21.787118911743196,21.5134296417236,21.678701400756804,21.2152137756348,20.6782884597778,20.6043872833252,21.264327049255396,21.6157598495483,22.346545219421397,21.9243354797363,22.1056232452393,22.221606254577605,22.3840799331665,21.706050872802702,22.390246391296397,22.0358734130859,20.4801979064941,20.707425594329802,20.9362888336182,21.7229642868042,20.969809055328398,21.8419580459595,21.3421678543091,21.5740365982056,21.796406745910602,20.9895582199097,20.9669828414917,20.418251991271998,20.5741214752197,20.6878938674927,20.725872039794897,21.2303419113159,21.4258861541748,21.6523742675781,21.3774108886719,21.0257720947266,20.985990524292,21.4895582199097,20.862208366394,20.6067066192627,21.73411091168722,21.773093620936066,21.145503997802745,21.05367803573608,5,Antioquia,Alejandría,4511,4543,4570,4657,4669,0,5,0,0,0,6.59,15.73,21.91,55.77,0.31,0.0,8.1,8.75,38.79,37.07,1.25,25.89,0.86,49.8,50.2,17.06,54.61,17.9879,38.5721,4.8215,0.1854,0.0464,0.0464,0.006623,9.092715
4,52.162559509277294,188.470245361328,184.29377746582,162.664733886719,158.861633300781,131.329544067383,75.2496871948242,174.564849853516,186.747024536133,160.97399902343798,91.10839080810551,94.2135467529297,158.177810668945,129.37532043457,219.26856994628898,251.061080932617,213.12902832031202,155.130294799805,107.121597290039,239.185791015625,241.846618652344,112.63707733154301,46.1200485229492,64.5022354125977,165.416397094727,253.455612182617,281.28204345703097,222.163391113281,293.564239501953,94.7378997802734,174.25280761718798,194.84690856933602,211.55920410156202,100.372108459473,112.54895782470699,85.9483489990234,68.9238128662109,282.53857421875,259.078125,274.654327392578,182.19206237793,162.01516723632798,195.391815185547,421.436859130859,256.69512939453097,117.747261047363,91.3154754638672,123.73675537109399,5030,1660.6399917602546,1937.5554733276358,2190.147918701172,2435.725364685058,21.8729906082153,20.9313640594482,21.329512596130396,21.7832288742065,22.2506246566772,22.0172386169434,21.7165975570679,21.798216819763198,21.796884536743196,21.590761184692397,21.736806869506804,21.3338804244995,20.7068452835083,20.484748840332,21.022481918335,21.3038024902344,22.1743230819702,21.7872915267944,21.804097175598102,22.057069778442397,22.3474054336548,21.939199447631804,22.463369369506804,22.1107025146484,20.5800218582153,20.6350088119507,20.8295130729675,21.520729064941396,20.8175520896912,21.760989189147896,21.1210241317749,21.404465675354,21.771883964538603,21.0550851821899,21.036806583404502,20.5252866744995,20.717261791229202,20.6251125335693,20.558419704437302,21.0264582633972,21.3805727958679,21.5609884262085,21.1499309539795,20.8807687759399,21.020582199096697,21.648314476013198,20.980035305023197,20.6880464553833,21.679842233657833,21.683444738388047,21.088197191556283,21.0197076400121,5,Antioquia,Amagá,28691,29006,29429,30227,30777,120,196,17,3,16,5.42,13.36,25.71,55.5,0.48,0.03,9.02,7.68,51.67,39.21,3.36,21.48,3.56,49.37,50.63,3.31,56.12,27.8784,42.028,3.4086,0.1889,0.146,0.0172,0.011765000000000001,102.752941
5,53.587703704834006,226.38879394531202,199.49060058593798,203.632858276367,246.70935058593798,235.639984130859,210.165100097656,167.786911010742,228.926544189453,201.427001953125,104.914535522461,108.014129638672,155.967529296875,205.305801391602,259.55438232421903,274.561401367188,334.904449462891,252.298583984375,128.027725219727,234.34191894531202,301.919067382812,116.04655456543001,44.471160888671896,66.4969482421875,152.722412109375,292.131225585938,313.149047851562,309.590301513672,449.56298828125,163.25390625,220.939376831055,217.33567810058602,276.338500976562,109.425827026367,109.44896697998001,126.792686462402,71.5081329345703,315.90460205078097,388.25637817382795,330.03265380859403,286.80584716796903,236.360321044922,264.976684570312,433.156829833984,349.761840820312,164.73831176757798,63.466251373290994,150.041900634766,5031,2186.683513641357,2373.895523071291,2740.690917968749,3055.0097541809073,22.6583337783813,21.861007690429698,22.251642227172898,22.7811164855957,23.188841819763198,23.182267189025897,22.6919021606445,22.8980331420898,22.870816230773897,22.4422025680542,22.509247779846202,22.082539558410602,21.5835075378418,21.4610061645508,22.072301864624,22.400214195251497,23.124171257019,23.009349822998,23.000147819519,23.1457757949829,23.4561462402344,22.640292167663603,23.2092475891113,22.8347959518433,21.471095085144,21.565173625946002,21.7723026275635,22.491968154907198,21.871914863586397,22.882266998291,22.277231216430696,22.518692970275897,22.9708166122437,21.9402923583984,21.790497779846202,21.307713508606,21.4710941314697,21.550503730773897,21.4974756240845,22.0148839950562,22.234674453735398,22.7093505859375,22.1772317886353,21.9104452133179,22.1332302093506,22.4402923583984,21.721661567688,21.507713317871104,22.61816255251566,22.6614130338033,22.071663816769917,21.947379748026545,5,Antioquia,Amalfi,24444,24794,25205,25962,26552,5,4,2,3,6,6.5,17.97,26.95,48.58,0.5,0.01,8.09,10.2,40.78,38.31,2.74,22.5,0.64,50.22,49.78,31.18,59.46,28.0338,23.4831,15.748,0.1853,0.0463,0.0579,0.000817,5.373366000000001
6,65.190559387207,197.310958862305,209.282302856445,142.60720825195298,136.759414672852,109.83941650390601,61.111789703369105,166.870468139648,191.257354736328,199.414505004883,131.64582824707,158.910446166992,200.021575927734,132.401458740234,252.056701660156,230.08821105957,185.73796081543,131.327819824219,87.2792739868164,234.301940917969,253.571014404297,146.569137573242,64.5308456420898,112.80755615234399,214.027145385742,272.192108154297,332.124237060547,188.383926391602,257.026275634766,80.4754180908203,147.02346801757798,182.764694213867,225.231048583984,124.95607757568399,157.605407714844,146.587600708008,85.6977615356445,298.36224365234403,293.866363525391,246.86961364746102,161.990524291992,142.63342285156202,158.639007568359,394.904174804688,262.34228515625,144.46208190918,135.298385620117,212.678161621094,5034,1770.2002525329583,2030.693496704101,2328.397407531739,2537.744026184083,18.360379695892302,17.4542279243469,17.604603767395,18.1899313926697,18.2956871986389,18.007778167724602,17.9551286697388,17.8779425621033,17.7320327758789,17.564001083374,17.808946609497102,17.5443906784058,17.149443149566697,16.9563102722168,17.2874164581299,17.6381087303162,18.195687770843502,17.733298301696802,18.0053887367249,18.113098621368398,18.2372407913208,17.969470024108897,18.5326433181763,18.3014211654663,16.9957962036133,17.0563101768494,17.1374168395996,17.865972995758103,16.8735513687134,17.6832985877991,17.249659538269,17.4130992889404,17.6841154098511,17.056188583374,17.113113403320302,16.735276222229,17.1957969665527,17.1263632774353,16.974916934967002,17.3659729957581,17.4285001754761,17.5207986831665,17.3418469429016,16.9688277244568,16.9549498558044,17.669469833374,17.1055598258972,16.838921546936,17.866254210472107,17.843293944994624,17.238649884859726,17.207660396893807,5,Antioquia,Andes,42495,42564,42614,43269,43713,14,188,6,2,1,5.79,14.73,25.3,54.18,0.6,0.65,10.77,10.08,41.52,38.89,1.98,22.1,0.98,51.85,48.15,26.47,66.17,21.4644,53.3384,6.1003,0.2539,0.0343,0.0274,0.002227,26.946547999999996
7,49.8127021789551,187.649032592773,193.256240844727,163.831359863281,180.86204528808602,132.74508666992202,75.0566711425781,163.650405883789,179.868438720703,171.857940673828,84.21421813964841,104.133819580078,152.53048706054702,129.52136230468798,228.070648193359,248.664596557617,240.61231994628898,157.481506347656,108.46394348144501,222.82859802246102,231.93894958496102,119.36156463623001,42.4941444396973,70.6267623901367,158.847274780273,253.489654541016,293.806518554688,227.17150878906202,333.343780517578,96.89962768554692,175.366592407227,181.114044189453,203.016510009766,107.75415802001999,103.08651733398399,95.86742401123051,67.718147277832,284.55133056640597,268.0908203125,273.291778564453,205.655136108398,163.057632446289,197.610321044922,390.748199462891,247.130172729492,126.78378295898399,84.7144317626953,137.964736938477,5036,1686.937961578369,1952.594882965087,2229.7636108398447,2447.3164901733394,21.181929588317896,20.2899198532104,20.6176886558533,21.0869188308716,21.533616065979,21.2905387878418,20.991921424865698,20.9690809249878,20.961603164672898,20.7813444137573,21.000799179077102,20.620726108551,20.020298480987503,19.841396331787102,20.3087472915649,20.6017627716064,21.4675569534302,21.054513931274396,21.100254058837898,21.2032823562622,21.5124702453613,21.138462543487503,21.735348701477104,21.3876523971558,19.9033713340759,20.0098848342896,20.1176886558533,20.832751750946,20.1146059036255,21.0384540557861,20.4312443733215,20.5711650848389,20.9657697677612,20.244104862213103,20.3007998466492,19.818902969360398,20.030714035034197,19.9878363609314,19.815866470336896,20.3339672088623,20.657140254974397,20.838454246521,20.429421424865698,20.037223815918,20.195543289184602,20.8411540985107,20.247847557067896,19.9915590286255,20.943840583165482,20.94764550526936,20.36239528656006,20.283893982569378,5,Antioquia,Angelópolis,5659,5649,5669,5756,5790,1,5,0,0,0,5.57,14.64,24.47,55.32,0.54,0.06,23.14,9.57,41.62,39.07,1.93,22.94,3.56,50.49,49.51,8.39,45.96,29.2683,37.3556,5.1348,0.0856,0.0,0.0,0.011493999999999999,19.735632
8,39.4269142150879,176.407440185547,191.08435058593798,201.41184997558602,231.220428466797,203.085021972656,163.83572387695298,160.756896972656,171.893493652344,156.742172241211,114.552177429199,74.7424621582031,120.55621337890601,143.783355712891,237.830139160156,272.063232421875,304.542083740234,225.902053833008,128.010604858398,222.691131591797,232.212112426758,92.0080108642578,51.175197601318395,45.0057525634766,119.120323181152,231.566864013672,300.468627929688,294.48724365234403,423.51022338867205,144.652679443359,208.110260009766,196.002746582031,210.294006347656,85.7144241333008,123.832954406738,80.6021728515625,56.9651679992676,259.24951171875,323.600921630859,321.757537841797,261.436187744141,215.056594848633,256.084594726562,408.466644287109,260.11798095703097,121.0986328125,80.9906539916992,101.991073608398,5038,1885.158931732178,2075.7798881530757,2418.362525939941,2666.8155021667462,19.168496131896998,18.3960866928101,18.828420639038104,19.153660297393802,19.523454189300498,19.409539222717303,19.0518884658813,19.4447059631348,19.5692448616028,19.064867019653303,18.9838967323303,18.664315700531002,18.097576141357397,17.9856691360474,18.6949138641357,18.793157577514602,19.427272319793698,19.2117085456848,19.383225440979,19.7677965164185,20.163168430328398,19.2643461227417,19.6734800338745,19.403898715972897,17.951483249664303,18.0960865020752,18.394913673400897,18.855309009552,18.1442861557007,19.069955348968502,18.635396003723102,19.167797088623,19.663168430328398,18.541777133941697,18.1838960647583,17.851729393005396,18.0349888801575,18.0878396034241,18.126250743866,18.393156528472897,18.5607795715332,18.903462409973102,18.5540590286255,18.5386300086975,18.8153386116028,19.0478534698486,18.1838970184326,18.0808091163635,19.104881326357525,19.155517737070717,18.546316504478458,18.44392208258311,5,Antioquia,Angostura,11174,11210,11241,11437,11462,4,1,0,0,0,6.67,17.38,26.59,49.36,0.5,0.0,16.7,12.69,34.75,34.38,2.53,28.0,0.44,50.73,49.27,19.29,68.53,42.085,25.3183,4.7802,0.048,0.048,0.024,0.0025510000000000003,7.994897999999999
9,57.7093696594238,189.828338623047,204.357421875,247.234649658203,250.515106201172,295.74725341796903,198.628662109375,169.069198608398,227.467193603516,193.923980712891,113.373374938965,78.1386260986328,179.568435668945,177.44856262207,284.962280273438,322.508148193359,328.86383056640597,322.44879150390597,120.997734069824,237.722686767578,297.205413818359,102.843276977539,46.9780082702637,46.9762992858887,176.856170654297,246.9658203125,335.474151611328,384.36032104492205,452.247009277344,227.075714111328,212.914199829102,222.443695068359,281.52984619140597,103.448570251465,117.832618713379,98.7945709228516,80.3985290527344,270.669067382812,411.662475585938,391.722473144531,278.608856201172,292.520233154297,253.907012939453,430.706848144531,367.047302246094,147.374130249023,68.84970855712889,118.078094482422,5040,2225.9931755065927,2468.5234680175763,2859.942687988281,3111.5447311401363,23.4537210464478,22.638815879821802,22.9657669067383,23.3190660476685,23.7121963500977,23.673449516296397,23.227350234985398,23.5235967636108,23.585386276245103,23.212475776672395,23.2810897827148,22.888161659240698,22.386533737182603,22.238815307617198,22.812121391296397,22.9992742538452,23.6770401000977,23.4880323410034,23.5609445571899,23.767868041992198,24.1835632324219,23.439038276672395,23.9810905456543,23.6272230148315,22.282107353210396,22.3096494674683,22.5121212005615,23.0656805038452,22.4379777908325,23.3817825317383,22.825528144836397,23.153285026550304,23.6853866577148,22.739038467407198,22.5248403549194,22.1209735870361,22.265439987182603,22.307825088501,22.2365999221802,22.601097106933604,22.7996969223022,23.1880321502686,22.7255277633667,22.5196914672852,22.8481464385986,23.239038467407198,22.493850708007802,22.3209733963013,23.290089686711642,23.346795399983723,22.75319759051003,22.62882661819459,5,Antioquia,Anorí,14568,16180,17394,18321,18737,21,3,4,3,16,7.71,20.7,28.59,43.0,1.68,1.15,10.78,10.87,35.8,35.21,2.63,22.15,0.21,51.74,48.26,33.61,62.39,32.0513,24.2369,5.3419,0.0305,0.0153,0.0,0.000691,3.1783
